FaultName,FaultID,State,SiteName,CPDId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM6ObjectName,DataType,Observation,PrefRate,LowRate,HighRate,RateUncr,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,Reference
11,Bartlett Springs,8,CA,approx centroid,S-0011,SR-0005,-123.056321237000,39.584526422800,399.35,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
12,Battle Creek,9,CA,per Page and Renne (1994),S-0012,SR-0006,-121.991280037000,40.442404391600,475.09,N/A,slip rate study,"Page and Renne (1994) report 60 ka lava flow that crosses fault is unfaulted. Site coordinates approximate. Based on faulting of Brokeoff Mt flow. Note that in UCERF2, the Battle Creek fault was considered a normal fault, but more recent evidence sugge",0.1,0,0.5,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B),lava flow,Ar-Ar,unknown,130-750,0.2,1,Page and Renne (1994)
13,Bear Creek,311,CA,approx centroid,S-0013,SR-1128,-122.138077373000,40.490690342700,482.34,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
14,Bear River,10,CA,approx centroid,S-0014,SR-0007,-124.402631059000,40.461620661200,534.17,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
15,Bennett Valley,11,CA,approx centroid,S-0015,SR-1199,-122.574251745225,38.349105555751,255.6,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
16,Bicycle Lake,12,CA,approx centroid,S-0016,SR-0009,-116.562202707000,35.250512467600,1.43,MJVA-CRSF-BCYL-Bicycle_Lake_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
17,Big Lagoon,13,CA,BM1,S-0017,SR-0010,-124.109810062000,41.188292021800,597.86,N/A,slip rate study,"Reported rate is vertical separation. Net rate reported by McCrory is 1.1 mm/yr. UCERF3 calculates slip rate of 1+/- 0.2 mm/yr, using the UCERF3-assigned fault dip of 35 degrees.",0.55,0.45,0.68,unknown,unprojected (vertical),"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",stratigraphic marker,Assumed timing initiation of deformation,unknown,750-2600,0.2,1,McCrory (1996)
18,Big Pine (center),14,CA,approx centroid,S-0018,SR-0011,-119.245594641000,34.713385859000,0.31,CRFA-BPPM-EAST-Big_Pine_fault-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
19,Big Pine (east),15,CA,approx centroid,S-0019,SR-0012,-119.112364778000,34.762514993200,0.22,CRFA-BPPM-LKWV-Lockwood_Valley_fault-CFM2,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
20,Big Pine (west),16,CA,approx centroid,S-0020,SR-0013,-119.525425332000,34.672315202700,0.18,CRFA-BPPM-WEST-Big_Pine_fault-CFM2,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
21,"Big Valley (unnamed, proxy)",348,CA,approx centroid,S-0021,SR-1130,-121.062810628000,41.146552041500,494.3,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
22,Blackwater,17,CA,per Oskin and Iriondo (2004),S-0022,SR-0014,-117.199882570000,35.207467722800,0.05,MJVA-BWFZ-MULT-Blackwater_fault-CFM5,slip rate study,"Long term, well-constrained rate.",0.49,0.09,0.89,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow,Ar-Ar,unlisted,>2600,0.2,1,Oskin and Iriondo (2008); USGS QFFD
23,Blue Cut,18,CA,approx centroid,S-0023,SR-0015,-115.837710789000,33.911210538500,0.58,ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
24,Brawley,19,CA,approx centroid,S-0024,SR-0016,-115.561900951000,33.098493373300,0.07,SALT-BRSZ-BRSZ-Brawley_Seismic_Zone_boundary-CFM1,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,QFFD
25,Breckenridge,21,CA,Oak Tree,S-0025,SR-0017,-118.546044716000,35.431154929500,1.43,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"Small total displacements suggest a limited number of events. Authors note consistency of rates over ~68 and ~35 ky timescales. Authors dated three surfaces, ~68 ka surface displaced 7 m, 35 ka surface displaced 4 m, and ~12 ka surface is undeformed.",0.1,0,0.2,unknown,unprojected (vertical),reported (author reported slip and age information; Appendix B calculates rate from data),fan,10Be,2?,11-130,0,0.2,Brossy and others (2010)
26,Bullion Mountains,22,CA,approx centroid,S-0026,SR-0018,-116.106685464000,34.441521763600,0.03,MJVA-LLBM-NBMS-Bullion_Mountains_fault-CFM6,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
27,Burnt Mountain,23,CA,approx centroid,S-0027,SR-0019,-116.398725406000,34.029416037100,0.12,ETRA-LSBM-BRMT-Burnt_Mountain_East_Wide_Canyon_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
28,Cady,25,CA,approx centroid,S-0028,SR-0020,-116.488827905000,34.895307729500,0,MJVA-CRSF-CADY-Cady_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
29,Calaveras (center),922,CA,approx centroid,S-0029,SR-1256,-121.683140680000,37.298547558333,127.02,N/A,QFFD slip rate bin,Preferred reported rate of Kelson and others (1998) is a composite rate from the four offset channels.,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,QFFD
30,Calaveras (north),923,CA,Welch Creek,S-0030,SR-0425,-121.849707174000,37.534806319700,153.75,N/A,slip rate study,See Simpson and others (1999).,,3,8,unknown,lateral,reported (author reported rate as recorded in Appendix B),terrace back edge,C14,unlisted,1-11,5,35,Simpson and others (1999)
31,Calaveras (north),923,CA,Welch Creek,S-0031,SR-0426,-121.849707174000,37.534806319700,153.75,N/A,slip rate study,Offset measurement based on an isopach map of a buried debris flow.,,5,6,unknown,lateral,reported (author reported rate as recorded in Appendix B),buried debris flow,C14,unlisted,1-11,5,35,Simpson and others (1999)
32,Calaveras (north),923,CA,Leyden Creek,S-0032,SR-0427,-121.837849335000,37.510026987600,150.92,N/A,slip rate study,See Kelson and others (1996).,5,3,7,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),terrace riser,unlisted,unlisted,11-130,5,35,Kelson and others (1996)
33,"Calaveras (south, Paicines)",920,CA,Winfield Ranch,S-0033,SR-0423,-121.305739529000,36.746809384600,59.93,N/A,slip rate study,"Slip rate is only one of several strands, so rate may be a minimum for the fault zone.",,9,35,unknown,lateral,reported (author reported rate as recorded in Appendix B; reported as '>9 mm/yr' so 9 mm/yr is the 'LowRate' cell here),terrace riser,C14,unlisted,11-130,5,35,Perkins and Sims (1988); Bryant and Cluett (1999)
34,Calaveras (south),921,CA,San Ysidro Channel 1,S-0034,SR-0424,-121.488520552000,37.024073507800,93.04,N/A,slip rate study,Preferred reported rate of Kelson and others (1998) is a composite rate from the four offset channels.,14,11,19,unknown,projected (right-lateral),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried channel,unlisted,unlisted,1-11,5,35,Kelson and others (1998)
35,Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0035,SR-0021,-116.596793123000,34.753291762100,0.55,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.4,1,1.8,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,"Ar - Ar, 3He",?,130-750,0.2,1,Oskin and others (2007)
36,Calico - Hidalgo,26,CA,Sheep Creek Wash,S-0036,SR-0022,-116.596793123000,34.753291762100,0.55,MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 +/- 0.5 mm/yr.,1.8,1.5,2.6,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate with additional comment that max rate could be as high as 2.6 mm/yr),offset fan,10Be,?,11-130,1,5,Oskin and others (2007)
37,Camp Rock,27,CA,per Oskin and others (2008),S-0037,SR-0023,-116.750699187000,34.711392665300,0.3,MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,slip rate study,"Reported rate is a maximum. Cosmogenic date on Q2a surface (Oskin and others, 2008).",1.4,0.8,2,reported rate is a maximum- may influence shape of distribution,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,10Be,unlisted,11-130,0.2,1,Oskin and others (2008)
38,Canada David,28,CA,approx centroid,S-0038,SR-1271,-115.434281552326,32.182626590698,0.22,PNRA-NBJD-CDVD-Canada_David_detachment-CFM3,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
39,Carlsbad,29,CA,approx centroid,S-0039,SR-0784,-117.509384526000,33.089431325800,1.58,OCBA-DSCS-NRTH-Descanso_fault_C-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
40,Carlsbad Ridge,357,CA,approx centroid,S-0040,SR-1193,-117.736805612948,33.168344694501,3.85,OCBA-OCSD-OCNS-Oceanside_detachment-CFM6,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
41,Casmalia,30,CA,approx centroid,S-0041,SR-1167,-120.530962633943,34.882651448929,0.15,CRFA-CSBL-CSML-Casmalia_fault-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
42,Catalina,312,CA,approx centroid,S-0042,SR-0275,-118.744350602000,33.428281878600,0.11,OCBA-SDTZ-CTLB-San_Diego_Trough_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
43,Cedar Mountain - Mahogany Mountain,31,CA,south of Antelope Sink,S-0043,SR-0024,-121.919179373000,41.647010577600,579.27,N/A,slip rate study,Assumed Tioga age deposits vertically offset 2 m. One of several strands makes this a minimum. Reported rate appears too uncertain to assign a UCERF3 site slip rate.,,0.2,1,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as '>0.2 mm/yr' so 0.2 mm/yr is the 'LowRate' cell here),unlisted,correlation,1? (low scarp),unlisted,0.2,1,Bryant (1990a)
44,Cerro Prieto,32,CA,approx centroid,S-0044,SR-1257,-115.275097254651,32.398188660465,0.04,SALT-CPFZ-CRPB-Cerro_Prieto_fault-CFM1,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,QFFD
45,Channel Islands,33,CA,approx centroid,S-0045,SR-0025,-119.576645910000,33.974467310600,0.24,WTRA-SBTS-MULT-Channel_Islands_Thrust_fault-CFM1,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
46,Channel Islands (ramp),34,CA,approx centroid,S-0046,SR-1211,-119.707387735293,34.185332224681,0.72,WTRA-ORFZ-OFFS-Mid_Channel_fault-CFM6,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
47,Chico Monocline,313,CA,approx centroid,S-0047,SR-0789,-121.877569048000,39.923457575300,416.57,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
48,Chino,36,CA,approx centroid,S-0048,SR-0027,-117.664607099000,33.923917771100,0.08,PNRA-ELSZ-CHNO-Chino_fault_main-CFM4,QFFD slip rate bin,"Madden and Yeats (2008) conclude the right lateral slip rate is < 0.5 mm/yr, but this rate is based on a number of assumptions, rather than a direct measurement and dating of an offset feature. The authors acknowledged that the site was not optimal for",No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
49,Clamshell - Sawpit,37,CA,approx centroid,S-0049,SR-1172,-117.926961032384,34.218198577031,0.35,WTRA-SMFZ-CSPC-Clamshell_Sawpit_Canyon_fault-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
50,Clayton,38,CA,approx centroid,S-0050,SR-0028,-121.896207122000,37.923487220800,197.16,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
51,Fish Lake Valley,1170,NV,approx centroid,S-0051,SR-0052,-118.161790669000,37.736163128300,57.47,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
52,Cleghorn,39,CA,Meisling (1984),S-0052,SR-0029,-117.370408289000,34.289300325100,0.13,ETRA-CLGZ-SCHS-Cleghorn_fault-CFM5,slip rate study,"Previous rates reported by Meisling (1984) are based on a terrace age miscorrelation (Weldon, 2012). Qt1 is likely 500 ka and Qt2 is 60 ka.",,0.3,0.6,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,terrace correlation,unlisted,11-130,0.2,1,Meisling (1984); Weldon (2012)
53,Cleghorn Lake,40,CA,approx centroid,S-0053,SR-0030,-115.810147961000,34.295103949500,0.14,MJVA-LCLZ-CLGL-Cleghorn_Lake_fault-CFM5,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,QFFD
54,Cleghorn Pass,41,CA,approx centroid,S-0054,SR-0031,-115.908574443000,34.333984239700,6.97,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
55,Cohasset Ridge,314,CA,approx centroid,S-0055,SR-0790,-121.670056924000,40.007746845200,421.7,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
56,Collayomi,42,CA,per Clark and others (1984),S-0056,SR-0032,-122.801131620000,38.899380892000,319.97,N/A,slip rate study,"Clark and others (1984) note the offset is poorly constrained and ""critical evidence is covered by landslide and colluvium"".",,0,1,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),rhyolite flow,unlisted,unlisted,130-750,0.2,1,Clark and others (1984)
57,Compton,43,CA,Stanford Ave,S-0057,SR-0034,-118.263000000000,33.965000000000,2.33,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,slip rate study,"Based on cumulative uplift, thickening of section from borehole data across backlimb of Compton thrust. Assumed fault dip is 28 +/- 3 degrees. Rate is reported as a minimum, although the authors note that given various factors, they think the rate is cl",0.9,0.3,1.4,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),growth strata,radiocarbon,unlisted,1-15,1,5,Leon and others (2009)
58,Concord,44,CA,Galindo Creek,S-0058,SR-0035,-122.030664576000,37.966494199600,203.25,N/A,slip rate study,"This rate is a maximum and shorter term rate, based on longer projections and assumptions regarding channel geometry.",,1,5.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as '<5.4 mm/yr' so 5.4 mm/yr is the 'HighRate' cell here),offset buried channel,C14,unlisted,1-11,1,5,Borchart and others (1999)
59,Concord,44,CA,Galindo Creek,S-0059,SR-0036,-122.030664576000,37.966494199600,203.25,N/A,slip rate study,Reported geologic rate is similar to creep rate.,3.4,3.1,3.7,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset buried channel,C14,unlisted,1-11,1,5,Borchart and others (1999)
60,Corning,315,CA,approx centroid,S-0060,SR-0791,-122.197785466000,39.860424606400,414.14,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,QFFD
61,Coronado Bank,55,CA,approx centroid,S-0061,SR-0037,-117.234904739000,32.450894500400,5.13,N/A,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,QFFD
62,Cox Ranch,355,CA,approx centroid,S-0062,SR-1186,-116.758541973499,33.993327017555,0.11,SAFS-SAFZ-COAV-Banning_North_Palm_Springs_fault_splay-CFM4,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,QFFD
