X,Y,SlipRateID,FaultID,FaultName,State,SiteName,DataType,Observn,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,x2014dip,x2014rake,x2014rate,Reference,AppB
-119.245594641,34.713385859,SR-0011,14,Big Pine (center),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,76,90,0.01,QFFD,no
-119.112364778,34.7625149932,SR-0012,15,Big Pine (east),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,73,45,0.39,QFFD,no
-119.525425332,34.6723152027,SR-0013,16,Big Pine (west),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,50,90,0.01,QFFD,no
-117.19988257,35.2074677228,SR-0014,17,Blackwater,CA,per Oskin and Iriondo (2004),slip rate study,"Long term, well-constrained rate.",0.49,0.09,0.89,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow,Ar-Ar,unlisted,>2600,0.2,1,90,180,0.5,Oskin and Iriondo (2008); USGS QFFD,yes
-115.837710789,33.9112105385,SR-0015,18,Blue Cut,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,0,0.39,QFFD,no
-115.561900951,33.0984933733,SR-0016,19,Brawley,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,5,35,90,180,23,QFFD,no
-118.546044716,35.4311549295,SR-0017,21,Breckenridge,CA,Oak Tree,slip rate study,"Small total displacements suggest a limited number of events.  Authors note consistency of rates over ~68 and ~35 ky timescales.  Authors dated three surfaces, ~68 ka surface displaced 7 m, 35 ka surface displaced 4 m, and ~12 ka surface is undeformed.",0.1,0,0.2,unknown,unprojected (vertical),reported (author reported slip and age information; Appendix B calculates rate from  data),fan,10Be,2?,11-130,0,0.2,60,90,0.1,Brossy and others (2010),yes
-116.106685464,34.4415217636,SR-0018,22,Bullion Mountains,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,180,0.01,QFFD,no
-116.398725406,34.0294160371,SR-0019,23,Burnt Mountain,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,67,180,0.6,QFFD,no
-116.488827905,34.8953077295,SR-0020,25,Cady,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,0,0.6,QFFD,no
-116.596793123,34.7532917621,SR-0021,26,Calico - Hidalgo,CA,Sheep Creek Wash,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 ± 0.5 mm/yr.,1.4,1,1.8,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,"Ar - Ar, 3He",?,130-750,0.2,1,90,180,1.8,Oskin and others (2007),yes
-116.596793123,34.7532917621,SR-0022,26,Calico - Hidalgo,CA,Sheep Creek Wash,slip rate study,Oskin and others (2007) try to account for warping and report slip rate could be as high as 2.1 ± 0.5 mm/yr.,1.8,1.5,2.6,unknown,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate with additional comment that max rate could be as high as 2.6 mm/yr),offset fan,10Be,?,11-130,1,5,90,180,1.8,Oskin and others (2007),yes
-116.750699187,34.7113926653,SR-0023,27,Camp Rock,CA,per Oskin and others (2008),slip rate study,"Reported rate is a maximum.  Cosmogenic date on Q2a surface (Oskin and others, 2008).",1.4,0.8,2,reported rate is a maximum- may influence shape of distribution,lateral,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,10Be,unlisted,11-130,0.2,1,90,180,0.6,Oskin and others (2008),yes
-121.919179373,41.6470105776,SR-0024,31,Cedar Mountain - Mahogany Mountain,CA,south of Antelope Sink,slip rate study,Assumed Tioga age deposits vertically offset 2 m.  One of several strands makes this a minimum. Reported rate appears too uncertain to assign a UCERF3 site slip rate.,,0.2,1,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as '>0.2 mm/yr' so 0.2 mm/yr is the 'LowRate' cell here),unlisted,correlation,1? (low scarp),unlisted,0.2,1,60,90,0.4,Bryant (1990a),yes
-119.57664591,33.9744673106,SR-0025,33,Channel Islands,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,20,90,1.5,QFFD,no
-119.684524964,34.2019110305,SR-0026,327,Mid Channel,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,21,90,0.01,QFFD,no
-117.664607099,33.9239177711,SR-0027,35,Chino,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,50,150,1,QFFD,no
-121.896207122,37.9234872208,SR-0028,38,Clayton,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,180,0.39,QFFD,no
-117.370408289,34.2893003251,SR-0029,39,Cleghorn,CA,Meisling (1984),slip rate study,"Previous rates reported by Meisling (1984) are based on a terrace age miscorrelation (Weldon, 2012).  Qt1 is likely 500 ka and Qt2 is 60 ka.",,0.3,0.6,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,terrace correlation,unlisted,11-130,0.2,1,90,0,0.45,Meisling (1984); Weldon (2012),yes
-115.810147961,34.2951039495,SR-0030,40,Cleghorn Lake,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,180,0.01,QFFD,no
-115.908574443,34.3339842397,SR-0031,41,Cleghorn Pass,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,180,0.01,QFFD,no
-122.80113162,38.899380892,SR-0032,42,Collayomi,CA,per Clark and others (1984),slip rate study,"Clark and others (1984) note the offset is poorly constrained and ""critical evidence is covered by landslide and colluvium"".",,0,1,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),rhyolite flow,unlisted,unlisted,130-750,0.2,1,90,180,0.39,Clark and others (1984),yes
-118.301912489,33.7725449436,SR-0033,203,Palos Verdes,CA,per Stephenson,slip rate study,"Offset of paleo Los Angeles River channel.  This may be a minimum rate, because the incision of the channel post-dates the age of the terrace.",3,2.5,3.8,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),paleo LA River channel,Correlation to dated marine terraces,unlisted,11-130,1,5,20,90,0.9,Stephenson and others (1995),yes
-118.36686899,33.8209586868,SR-0034,43,Compton,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,20,90,0.9,QFFD,no
-122.030664576,37.9664941996,SR-0035,44,Concord,CA,Galindo Creek,slip rate study,"This rate is a maximum and shorter term rate, based on longer projections and assumptions regarding channel geometry.",,1,5.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as '<5.4 mm/yr' so 5.4 mm/yr is the 'HighRate' cell here),offset buried channel,C14,unlisted,1-11,1,5,90,180,4.3,Borchart and others (1999),yes
-122.030664576,37.9664941996,SR-0036,44,Concord,CA,Galindo Creek,slip rate study,Reported geologic rate is similar to creep rate.,3.4,3.1,3.7,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset buried channel,C14,unlisted,1-11,1,5,90,180,4.3,Borchart and others (1999),yes
-117.234904739,32.4508945004,SR-0037,55,Coronado Bank,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,90,180,1.83,QFFD,no
-116.602562019,35.3145526263,SR-0038,57,Coyote Canyon,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,0,0.01,QFFD,no
-116.691640348,35.1501613838,SR-0039,58,Coyote Lake,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,0,0.01,QFFD,no
-117.453851866,34.1935992745,SR-0040,154,"Lytle Creek (San Jacinto, connector)",CA,Lytle Creek,slip rate study,"Minimum rate for the zone (multiple traces).   Soil correlation ages may be suspect, see Lindvall and Rubin cosmo ages for Day fan surface.  Metzger and Weldon (1983) also report a vertical rate of 0.04 - 0.1 mm/yr.",2.5,1,5,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),terrace,Soil correlation,unlisted,11-130,1,5,45,90,1.5,Metzger and Weldon (1983),yes
-117.533663985,34.1692135693,SR-0041,59,Cucamonga,CA,Day Canyon,slip rate study,numerous scarp profiles in intensive uncertainty analysis,1.2,1,1.4,1 standard deviation reported; error in reported rate is with assumed fault dip of 33 deg),projected (dip-slip),reported,surface offsets,CRN reinterpreted from Lindvall and Rubin (2006),unknown,38 +/- 2,1,5,45,90,1.5,McPhillips and Scharer (2018) JGR,no
-117.531938154,34.1690914432,SR-0042,59,Cucamonga,CA,Day Canyon,slip rate study,Revise scarp profiling and cosmo dates for the Day Canyon fan site of Morton and Matti (1987).  Lindvall and Rubin (2007) report a significantly lower slip rate than Morton and Matti (1987) based on new dating.  They also report a rate of 1.9 ± 0.5 mm,1.1,1,1.2,unknown,vertical,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan surface,10Be,unlisted,11-130,1,5,45,90,1.5,Lindvall and Rubin (2007),yes
-119.992388868,35.0232393877,SR-0043,60,Cuyama (south),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,33,90,0.01,QFFD,no
-120.351382339,41.7526997525,SR-0044,61,Davis Creek,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,50,90,0.39,QFFD,no
-116.736354282,36.0762420968,SR-0045,62,Death Valley (Black Mountains),CA,Willow Creek,slip rate study,Vertical slip rate reported by Klinger and Piety (2001).  Age control based on soil development.,,1,3,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,soil development,unlisted,1-11,1,5,60,30,3,Klinger and Piety (2001),yes
-116.757118463,36.0610532997,SR-0046,62,Death Valley (Black Mountains),CA,Mormon Point Canyon,slip rate study,4.3 +/- 0.6 m of vertical offset across alluvial fan dated at 7.0 +/- 1.1 ka yields slip rate of 0.6 +/- 0.1 mm/yr with 30 deg favored dip brings 1.0 +/- 0.2 mm/yr horizontal slip rate,1,0.8,1.2,unknown,projected (right-lateral),reported,alluvial fan,luminesence,unknown,7.0 +/- 1.1,1,5,60,30,3,"Frankel et al., (2016) Lithosphere",no
-116.769494505,36.2271976843,SR-0047,62,Death Valley (Black Mountains),CA,Badwater,slip rate study,6.4 +/- 0.6 m of verical offset of fan surface dated at 4.5 +/- 1.2 ka yields vertical slip rate of 1.4 +0.5/-0.3 mm/yr; pref horizontal slip rate from 60 deg dip,0.8,0.6,1.1,unknown,projected (right-lateral),reported (see table 4),alluvial fan,luminesence,unknown,4.5 +/- 0.6,1,5,60,30,3,Frankel et al (2016) Lithosphere,no
-118.185475635,37.7842263471,SR-0048,1170,Fish Lake Valley,CA,Indian Creek Fan,slip rate study,Multiple features (four channels) matched to estimate offset. Reported as a minimum. Rate is within reported range reported by Reheis and Sawyer (1997).,2.5,2.1,2.9,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,90,30,3,Frankel and others (2007b); Reheis and Sawyer (1997),yes
-118.185475635,37.7842263471,SR-0049,1170,Fish Lake Valley,CA,Indian Creek Fan,slip rate study,"Vertical component, reported by Ganev and others (2010).  Reported extension rate 0.5 +0.2, -0.1 mm/yr",0.5,0.4,0.7,unknown,extension,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,90,30,3,Ganev and others (2010),yes
-118.010939076,37.5674486279,SR-0050,63,Death Valley (Fish Lake Valley),CA,Furnace Creek Fan,slip rate study,"Rate based on cosmogenic dating.  Rate is within reported range of 1.5 - 9.3 mm/yr reported by Reheis and Sawyer 1997, based on soil development. Reported as a minimum.",3.1,2.7,3.5,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,90,30,3,Frankel and others (2007b); Ganev and others (2010),yes
-118.010939076,37.5674486279,SR-0051,63,Death Valley (Fish Lake Valley),CA,Furnace Creek Fan,slip rate study,"Vertical component, reported by Ganev and others (2010). Reported extension rate 0.1 ± 0.1mm/yr.",0.1,0.09,0.11,unknown,extension,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,10Be,unlisted,11-130,1,5,90,30,3,Ganev and others (2010),yes
-118.161790669,37.7361631283,SR-0052,1170,Fish Lake Valley,NV,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,90,30,3,QFFD,no
-117.260595468,36.8798186011,SR-0053,64,Death Valley (north),CA,Red Wall Canyon,slip rate study,"Site supersedes previous rate reported by Klinger and Piety of 5 - 12 mm/yr, due to new radiometric dates reported by Frankel, and better LiDAR-based offset measurements.",4.5,3.1,6.1,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan,cosmo,unlisted,11-130,1,5,90,180,4.5,Frankel and others (2007a),yes
-116.538285211,35.75043075,SR-0054,65,Death Valley (south),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,90,180,1.83,QFFD,no
-117.967622545,37.3730652244,SR-0055,66,Deep Springs,CA,Deep Springs College,slip rate study,Vertical offset based on reconstruction of cross section taken across fault at Deep Springs College.  Reported extension rate of 0.7 mm/yr.,0.9,0.2,1,unknown,vertical,reported (only preferred value listed in Appendix B no uncertainty included),stratigraphic marker,correlation to Bishop tuff,unlisted,130-750,0.2,1,50,90,1.2,Lee and others (2001),yes
-118.701353116,34.4448283258,SR-0056,117,Holser,CA,"Near Ramona Oil field, to Castaic Junction oil field.",slip rate study,"Stitt (1986) presents three crossections.  Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field.  The three crossections are within 6 km of each other.  450 m is assumed to be representative a",,0,1,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,73,90,0.39,Stitt (1986); Breyer and others (2009),no
-118.701353116,34.4448283258,SR-0057,117,Holser,CA,"Near Ramona Oil field, to Castaic Junction oil field.",slip rate study,"Stitt (1986) presents three crossections.  Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field.  The three crossections are within 6 km of each other.  450 m is assumed to be representative a",,1,5,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,73,90,0.39,Stitt (1986); Breyer and others (2009),no
-120.103861805,39.4795849539,SR-0058,68,Dog Valley,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,0,0.01,QFFD,no
-117.654176169,36.900223155,SR-0059,69,Dry Mountain,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,50,90,0.01,QFFD,no
-116.505906649,33.1184105569,SR-0060,70,Earthquake Valley (center),CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,90,180,2.5,QFFD,no
-120.254559972,35.0428741182,SR-0061,73,East Huasna,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0,0.2,90,180,0.01,QFFD,no
-115.765113147133,33.1207898834059,SR-0062,75,Elmore Ranch,CA,approx centroid,QFFD slip rate bin,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,0.2,1,unknown,No value listed for QFFD slip rate bins,reported,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,No value listed for QFFD slip rate bins,1,5,90,0,1,QFFD,no
-118.017806113,33.8865595437,SR-0063,219,Puente Hills (Coyote Hills),CA,per Christofferson and others (2001),slip rate study,"Offset and dating are poorly-constrained.  The reported slip rate assumes a 19 - 22 degree dip and simple hanging wall block translation.  Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief show",,0.2,1,unknown,projected (dip-slip),reported (only range reported/no uncertainty),offset surface,soil,unlisted,11-130,0.2,1,22,90,0.01,Christofferson and others (2001),yes
-118.081158057,33.915375187,SR-0064,221,Puente Hills (Santa Fe Springs),CA,per Shaw and others (2002),slip rate study,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",0.62,0.2,1,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,22,90,0.01,Shaw and others (2002),no
-117.939859253,33.8725574731,SR-0065,219,Puente Hills (Coyote Hills),CA,per Shaw and others (2002),slip rate study,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",1.28,0.2,1.7,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,22,90,0.01,Shaw and others (2002),no
